1366719878 function calls (1324972940 primitive calls) in 1086.654 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
130788839   67.241    0.000   67.241    0.000 {built-in method numpy.array}
87155104/87152791    7.527    0.000    7.528    0.000 {built-in method builtins.len}
70971873/56745630   93.312    0.000  315.370    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
 66351855   12.459    0.000   13.175    0.000 {built-in method builtins.isinstance}
57442545/57442536   12.047    0.000   12.047    0.000 {built-in method builtins.hasattr}
 53406936   10.825    0.000   10.825    0.000 {method 'append' of 'list' objects}
 41843075    9.276    0.000   36.541    0.000 _asarray.py:16(asarray)
 41200105   20.729    0.000   95.717    0.000 <__array_function__ internals>:2(concatenate)
 41200105    4.928    0.000    4.928    0.000 multiarray.py:145(concatenate)
 30141048    2.977    0.000    2.977    0.000 {method 'getrandbits' of '_random.Random' objects}
 29450367    3.687    0.000    3.687    0.000 {function _typedict.__getitem__ at 0x7f80bf71c200}
29450061/29450059   14.052    0.000   17.781    0.000 __init__.py:810(__getitem__)
 28101932    6.660    0.000   13.554    0.000 _asarray.py:88(asanyarray)
 27726892    3.889    0.000    3.889    0.000 {built-in method builtins.issubclass}
 27360000    2.542    0.000    2.542    0.000 index_tricks.py:731(__getitem__)
26745462/13314934    9.302    0.000   13.450    0.000 basic.py:1960(_preorder_traversal)
 19135852    1.091    0.000    1.091    0.000 {method 'bit_length' of 'int' objects}
 19135842    8.809    0.000   12.877    0.000 random.py:224(_randbelow)
 14153882    2.360    0.000    2.360    0.000 path.py:197(vertices)
 13999768    8.646    0.000   22.128    0.000 __init__.py:1382(_to_unmasked_float_array)
 13969618   33.524    0.000   33.524    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 13837821    3.919    0.000    6.171    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
 13835468    1.308    0.000    1.308    0.000 path.py:211(codes)
 13835468    1.063    0.000    1.063    0.000 path.py:230(simplify_threshold)
 13835468    1.328    0.000    1.328    0.000 path.py:251(should_simplify)
 13798225   32.770    0.000   99.177    0.000 path.py:96(__init__)
 13798225   14.614    0.000   31.933    0.000 path.py:188(_update_values)
 13797302    5.224    0.000   11.366    0.000 shape_base.py:593(_column_stack_dispatcher)
 13797302   39.226    0.000   95.034    0.000 shape_base.py:597(column_stack)
 13797302    7.602    0.000  122.804    0.000 <__array_function__ internals>:2(column_stack)
 13746121   15.900    0.000   17.891    0.000 _methods.py:50(_count_reduce_items)
 13744257   41.392    0.000  106.256    0.000 _methods.py:134(_mean)
 13703371   18.238    0.000   18.238    0.000 {built-in method numpy.empty}
 13701419    6.045    0.000  111.701    0.000 {method 'mean' of 'numpy.ndarray' objects}
 13685472   23.093    0.000  295.635    0.000 art3d.py:707(<genexpr>)
 13680000   23.044    0.000   48.170    0.000 __init__.py:1973(_array_perimeter)
 13680000    1.220    0.000    1.220    0.000 art3d.py:710(<lambda>)
 13680000    7.614    0.000  151.478    0.000 <__array_function__ internals>:2(average)
 13680000    2.035    0.000    2.035    0.000 function_base.py:289(_average_dispatcher)
 13680000   15.310    0.000  133.582    0.000 function_base.py:293(average)
 11613769    2.488    0.000   16.768    0.000 {built-in method builtins.next}
 11571189    2.159    0.000    2.159    0.000 basic.py:725(args)
 11361834    2.486    0.000   18.170    0.000 basic.py:2006(__next__)
10812672/9143769    3.307    0.000    4.424    0.000 basic.py:121(__hash__)
  5964704    0.725    0.000    0.725    0.000 {method 'get' of 'dict' objects}
  5237087   13.923    0.000   13.925    0.000 {method 'extend' of 'list' objects}
  5209877    1.209    0.000    1.546    0.000 facts.py:537(<genexpr>)
